epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
24,3014.62,1.175,0.68223,1.13411,0.92422,0.91193,0.95147,0.6578,1.13505,0.52593,1.15333,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,3127.98,1.16914,0.68803,1.14151,0.92034,0.90456,0.9443,0.64246,1.14353,0.52695,1.15934,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,3236.5,1.1606,0.67503,1.12434,0.91498,0.9071,0.94617,0.65231,1.13598,0.52941,1.15252,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,3347.54,1.16646,0.6765,1.1277,0.91027,0.92113,0.95252,0.66761,1.13409,0.50725,1.1548,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,3464.13,1.16091,0.66454,1.12688,0.94745,0.90862,0.95858,0.67475,1.12467,0.51483,1.14245,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,3568.16,1.15918,0.666,1.13115,0.92246,0.91079,0.95019,0.65406,1.13566,0.51672,1.15596,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,3676.73,1.15962,0.66484,1.13012,0.94786,0.89013,0.95626,0.65737,1.12083,0.50047,1.14585,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,3792.32,1.1447,0.65506,1.12357,0.93024,0.90507,0.94542,0.65533,1.1229,0.499,1.14171,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,3902.43,1.14701,0.64929,1.11995,0.93871,0.91306,0.95665,0.66871,1.12171,0.49637,1.14406,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,4011.73,1.14701,0.65204,1.12113,0.90949,0.93452,0.95618,0.67572,1.11331,0.48982,1.13194,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,141.47,1.11853,0.613,1.10392,0.94343,0.93286,0.96151,0.69396,1.11081,0.4819,1.13835,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,211.161,1.11971,0.6128,1.10756,0.93598,0.90965,0.95474,0.67017,1.12238,0.4969,1.14879,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,279.517,1.12185,0.60614,1.10216,0.94781,0.89901,0.95189,0.68354,1.11993,0.49311,1.14199,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,340.211,1.11341,0.6093,1.09762,0.92383,0.90883,0.95156,0.68097,1.1111,0.48846,1.12606,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,400.826,1.10474,0.60293,1.09565,0.93399,0.90991,0.95714,0.68351,1.1264,0.48979,1.13586,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,461.404,1.10829,0.59957,1.09905,0.93842,0.92642,0.96192,0.68275,1.10906,0.47026,1.1286,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,522.049,1.10672,0.59714,1.09396,0.95931,0.92012,0.96435,0.68826,1.12558,0.48447,1.14323,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,582.751,1.09468,0.58734,1.09153,0.94213,0.91613,0.96437,0.69559,1.10236,0.47568,1.12336,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,643.639,1.09716,0.58498,1.09239,0.95562,0.93013,0.97002,0.69925,1.10779,0.46766,1.13057,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,704.444,1.09381,0.58027,1.08592,0.92955,0.93631,0.96249,0.69033,1.10318,0.47029,1.12809,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,765.023,1.08472,0.57696,1.08513,0.95873,0.91033,0.96229,0.68839,1.10072,0.46728,1.12449,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,825.603,1.08617,0.57667,1.08428,0.95553,0.90243,0.9626,0.69626,1.09769,0.46929,1.1249,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,886.281,1.0823,0.57747,1.08467,0.95536,0.92948,0.96924,0.69753,1.09763,0.46248,1.128,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,946.846,1.08507,0.57154,1.08086,0.94081,0.93287,0.9664,0.6963,1.09832,0.46404,1.12468,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,1007.12,1.07572,0.565,1.08078,0.95206,0.9304,0.97307,0.71048,1.09356,0.46238,1.12245,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,1067.68,1.07768,0.57062,1.08518,0.95475,0.92754,0.96734,0.70747,1.09573,0.4575,1.12426,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,1128.47,1.07372,0.56648,1.08285,0.94431,0.9382,0.96924,0.70027,1.10227,0.46235,1.13269,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
